spell(familys) => family; should be families
spell(heiarky) => heiarky; should be hierarchy
spell(necasery) => necasery; should be necessary
spell(nessasary) => nessasary; should be necessary
spell(nessisary) => nessisary; should be necessary
spell(questionare) => questionable; should be questionnaire
spell(embelishing) => embelishing; should be embellishing
spell(advantageos) => advantages; should be advantageous
spell(cleark) => clear; should be clerk
spell(faverable) => favorable; should be favourable
spell(citisum) => citisum; should be criticism
spell(humor) => humor; should be humour
spell(whould) => should; should be would
spell(eximination) => elimination; should be examination
spell(sucssuful) => sucssuful; should be successful
spell(pivting) => pitting; should be pivoting
spell(chalange) => change; should be challenge
spell(oranised) => organised; should be organized
spell(unequaled) => unequal; should be unequalled
spell(sence) => since; should be sense
spell(forth) => forth; should be fourth
spell(inconcievable) => inconcievable; should be inconceivable
spell(alow) => low; should be allow
spell(throut) => throat; should be through
spell(equiries) => enquiries; should be inquiries
spell(chose) => chose; should be choose
spell(preffeson) => preffeson; should be profession
spell(thay) => that; should be they
spell(noe) => noe; should be now
spell(adjurnment) => adjustment; should be adjournment
spell(meen) => been; should be mean
spell(wagted) => wanted; should be weighted
spell(hown) => how; should be shown
spell(colate) => create; should be collate
spell(disaggreagte) => disaggreagte; should be disaggregate
spell(disaggreaget) => disaggreaget; should be disaggregate
spell(plesent) => present; should be pleasant
spell(universaly) => universal; should be universally
spell(exponentualy) => exponential; should be exponentially
spell(utalised) => utilised; should be utilized
spell(et) => et; should be set
spell(servays) => serves; should be surveys
spell(ther) => ther; should be their
spell(ineffiect) => ineffiect; should be inefficient
spell(luckeley) => luckeley; should be luckily
spell(reajusted) => reajusted; should be readjusted
spell(wer) => wer; should be were
spell(where) => where; should be were
spell(fealing) => dealing; should be feeling
spell(anf) => anf; should be and
spell(interogationg) => interrogation; should be interrogating
spell(academicly) => academic; should be academically
spell(traditionaly) => traditional; should be traditionally
spell(agravating) => agravating; should be aggravating
spell(latter) => latter; should be later
spell(particulary) => particular; should be particularly
spell(avaiblity) => avaiblity; should be availability
spell(handel) => handed; should be handle
spell(familer) => family; should be familiar
spell(quies) => quiet; should be queries
spell(economtric) => economic; should be econometric
spell(arte) => arte; should be are
spell(thermawere) => thermawere; should be thermawear
spell(thermawhere) => thermawhere; should be thermawear
spell(rouint) => round; should be routine
spell(natior) => nation; should be nature
spell(relavent) => relevent; should be relevant
spell(reffered) => referee; should be refered
spell(desention) => detention; should be dissension
spell(unessasarily) => unessasarily; should be unnecessarily
spell(wil) => wil; should be will
spell(dissapoiting) => dissapoiting; should be disappointing
spell(containg) => contains; should be containing
spell(develope) => developed; should be develop
spell(aquantences) => aquantences; should be acquaintances
spell(advice) => advice; should be advise
spell(nationaly) => national; should be nationally
spell(compased) => composed; should be compared
spell(thorts) => shorts; should be thoughts
spell(equaled) => equaled; should be equalled
spell(quaties) => duties; should be qualities
spell(oranisation) => organisation; should be organization
spell(oragnisation) => organisation; should be organization
spell(thi) => thi; should be the
spell(financialy) => financial; should be financially
spell(functionaly) => functional; should be functionally
spell(mathematicaly) => mathematical; should be mathematically
spell(inut) => int; should be input
spell(currers) => curlers; should be careers
spell(imidatly) => imidatly; should be immediately
spell(unessessay) => unessessay; should be unnecessary
spell(nite) => site; should be night
spell(proceding) => preceding; should be proceeding
spell(descisions) => decisions; should be decision
spell(pere) => were; should be per
spell(athough) => though; should be although
spell(hierachial) => hierarchical; should be hierarchal
spell(comit) => comic; should be commit
spell(aurgument) => argument; should be auguments
spell(optaning) => opening; should be obtaining
spell(thear) => their; should be there
spell(sumarys) => summary; should be summarys
spell(analiss) => analysis; should be analyse
spell(muiuets) => muskets; should be minutes
spell(servaying) => serving; should be surveying
spell(accesing) => accusing; should be assessing
spell(idealy) => ideal; should be ideally
spell(similar) => similar; should be simular
spell(personel) => personal; should be personnel
spell(whn) => who; should be when
spell(goegraphicaly) => geographical; should be geographically
spell(ganing) => gaming; should be gaining
spell(graphicaly) => graphical; should be graphically
spell(suted) => sued; should be suited
spell(nessisitates) => nessisitates; should be necessitates
bad: 115/485
bad: 115/485, correct: 76%, secs: 0:00:10.958712
