spell(accomodation) => accomodation; should be accommodation
spell(acomodation) => accomodation; should be accommodation
spell(begining) => begining; should be beginning
spell(beeteen) => beteen; should be between
spell(committe) => committe; should be committee
spell(completly) => completly; should be completely
spell(concider) => concider; should be consider
spell(diffrent) => diffrent; should be different
spell(familys) => familys; should be families
spell(heiarky) => hearty; should be hierarchy
spell(managment) => managment; should be management
spell(necasery) => necesary; should be necessary
spell(nessasary) => nessasary; should be necessary
spell(nessisary) => nessisary; should be necessary
spell(neccassary) => neccessary; should be necessary
spell(pronounciation) => pronounciation; should be pronunciation
spell(questionare) => questionable; should be questionnaire
spell(recieve) => recieve; should be receive
spell(somone) => somone; should be someone
spell(unfortunatly) => unfortunatly; should be unfortunately
spell(vaiable) => viable; should be variable
spell(forbiden) => forbiden; should be forbidden
spell(acompaning) => comparing; should be accompanying
spell(advantageos) => advantages; should be advantageous
spell(cleark) => clear; should be clerk
spell(faverable) => favorable; should be favourable
spell(seperation) => seperation; should be separation
spell(emploies) => employee; should be employees
spell(oppinion) => oppinion; should be opinion
spell(cancelation) => cancelation; should be cancellation
spell(citisum) => citisum; should be criticism
spell(humor) => humor; should be humour
spell(whould) => whould; should be would
spell(recomend) => recomend; should be recommend
spell(seperated) => seperated; should be separated
spell(sucssuful) => sucessful; should be successful
spell(succesful) => succesful; should be successful
spell(pivting) => pitting; should be pivoting
spell(chalange) => phalange; should be challenge
spell(oranised) => organised; should be organized
spell(unequaled) => unequaled; should be unequalled
spell(sence) => sence; should be sense
spell(arrangment) => arrangment; should be arrangement
spell(forth) => forth; should be fourth
spell(supervison) => supervisor; should be supervision
spell(alow) => alow; should be allow
spell(operatins) => operating; should be operations
spell(throut) => throat; should be through
spell(equiries) => enquiries; should be inquiries
spell(befor) => befor; should be before
spell(contuned) => contused; should be continued
spell(perminant) => permenant; should be permanent
spell(chose) => chose; should be choose
spell(preffeson) => preffeson; should be profession
spell(thay) => thay; should be they
spell(noe) => noe; should be now
spell(stoped) => stoped; should be stopped
spell(meen) => meen; should be mean
spell(wagted) => wanted; should be weighted
spell(hown) => how; should be shown
spell(disaggreagte) => disaggreagte; should be disaggregate
spell(disaggreaget) => disaggreaget; should be disaggregate
spell(recieving) => recieving; should be receiving
spell(plesent) => present; should be pleasant
spell(basse) => basse; should be base
spell(universaly) => universal; should be universally
spell(utalised) => utilised; should be utilized
spell(et) => et; should be set
spell(servays) => servant; should be surveys
spell(ther) => ther; should be their
spell(ineffiect) => ineffiect; should be inefficient
spell(belive) => belive; should be believe
spell(wer) => wer; should be were
spell(where) => where; should be were
spell(anf) => anf; should be and
spell(interogationg) => interrogation; should be interrogating
spell(academicly) => academic; should be academically
spell(traditionaly) => traditional; should be traditionally
spell(studing) => studing; should be studying
spell(especaily) => especialy; should be especially
spell(latter) => latter; should be later
spell(draged) => draged; should be dragged
spell(particulary) => particulary; should be particularly
spell(avaiblity) => avaiblity; should be availability
spell(handel) => handel; should be handle
spell(familer) => familar; should be familiar
spell(quies) => quiet; should be queries
spell(economtric) => economic; should be econometric
spell(arte) => arte; should be are
spell(thermawere) => therewere; should be thermawear
spell(thermawhere) => thermawhere; should be thermawear
spell(rouint) => point; should be routine
spell(niether) => niether; should be neither
spell(aproach) => aproach; should be approach
spell(natior) => nation; should be nature
spell(comersial) => comercial; should be commercial
spell(mony) => mony; should be many
spell(acording) => acording; should be according
spell(recieves) => recieves; should be receives
spell(intresting) => intresting; should be interesting
